Unnamed: 0,project_id,constituency,district,state,sanctioned_amount,released_amount,expenditure,project_status,sanctioned_duration_days,project_start_date,expected_completion_date,actual_completion_date,implementing_agency,project_category,progress_percent,data_source,source_file,released_amount_imputed
951,KA09598,Belagavi Constituency,Belagavi,Karnataka,1500000,1500000.0,843814.98,ongoing,545,2024-03-16,2025-09-12,,PWD,drinking water,52.9,synthetic,sample_projects_synthetic.csv,False
952,MA09221,Nagpur Constituency,Nagpur,Maharashtra,750000,0.0,0.0,recommended,365,2023-03-22,2024-03-21,,Rural Dev Dept,school,,synthetic,sample_projects_synthetic.csv,False
953,KA09178,Mysuru Constituency,Mysuru,Karnataka,750000,375000.0,259787.93,ongoing,270,2024-09-04,2025-06-01,,Rural Dev Dept,community hall,80.9,synthetic,sample_projects_synthetic.csv,False
954,BI10195,Patna Constituency,Patna,Bihar,750000,750000.0,652797.94,ongoing,730,2024-02-02,2026-02-01,,PWD,community hall,59.0,synthetic,sample_projects_synthetic.csv,False
955,KE09788,Kozhikode Constituency,Kozhikode,Kerala,1500000,0.0,0.0,recommended,90,2024-01-18,2024-04-17,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,False
957,RA09905,Jodhpur Constituency,Jodhpur,Rajasthan,1000000,500000.0,205131.14,completed,545,2024-11-05,2026-05-04,2026-10-15,Jal Nigam,road,100.0,synthetic,sample_projects_synthetic.csv,False
958,KA10082,Belagavi Constituency,Belagavi,Karnataka,1000000,500000.0,422684.56,ongoing,90,2023-01-29,2023-04-29,,Zilla Parishad,community hall,11.6,synthetic,sample_projects_synthetic.csv,False
959,KA10078,Belagavi Constituency,Belagavi,Karnataka,2000000,2000000.0,1278161.18,completed,180,2023-12-01,2024-05-29,2024-06-20,Zilla Parishad,drinking water,100.0,synthetic,sample_projects_synthetic.csv,False
961,KA10054,Mysuru Constituency,Mysuru,Karnataka,2000000,1000000.0,869985.23,ongoing,90,2023-01-03,2023-04-03,,Zilla Parishad,sanitation,35.9,synthetic,sample_projects_synthetic.csv,False
962,RA09146,Jodhpur Constituency,Jodhpur,Rajasthan,500000,0.0,0.0,recommended,180,2023-05-23,2023-11-19,,Rural Dev Dept,community hall,,synthetic,sample_projects_synthetic.csv,False
963,AN10315,Guntur Constituency,Guntur,Andhra Pradesh,500000,250000.0,112052.2,ongoing,365,2023-04-29,2024-04-28,,Rural Dev Dept,electricity,29.5,synthetic,sample_projects_synthetic.csv,False
964,BI09575,Gaya Constituency,Gaya,Bihar,500000,500000.0,271621.92,sanctioned,90,2023-06-10,2023-09-08,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,False
965,BI09218,Patna Constituency,Patna,Bihar,750000,750000.0,530084.51,sanctioned,270,2024-08-02,2025-04-29,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv,False
966,MA09782,Pune Constituency,Pune,Maharashtra,500000,500000.0,362202.96,sanctioned,180,2023-03-08,2023-09-04,,Rural Dev Dept,drinking water,,synthetic,sample_projects_synthetic.csv,False
967,UT09751,Varanasi Constituency,Varanasi,Uttar Pradesh,500000,250000.0,188858.18,ongoing,730,2023-12-03,2025-12-02,,Zilla Parishad,community hall,68.7,synthetic,sample_projects_synthetic.csv,False
969,UT09181,Lucknow Constituency,Lucknow,Uttar Pradesh,300000,150000.0,96487.66,stalled,365,2023-06-09,2024-06-08,,Jal Nigam,drinking water,56.3,synthetic,sample_projects_synthetic.csv,False
970,KA09433,Belagavi Constituency,Belagavi,Karnataka,2000000,1000000.0,800000.0,stalled,730,2023-02-08,2025-02-07,,Zilla Parishad,electricity,60.8,synthetic,sample_projects_synthetic.csv,False
971,BI10332,Muzaffarpur Constituency,Muzaffarpur,Bihar,300000,150000.0,63000.0,sanctioned,180,2024-04-04,2024-10-01,,Rural Dev Dept,school,,synthetic,sample_projects_synthetic.csv,False
973,KE10044,Kozhikode Constituency,Kozhikode,Kerala,2000000,2000000.0,824004.2,sanctioned,270,2024-01-05,2024-10-01,,PWD,school,,synthetic,sample_projects_synthetic.csv,False
975,TA09749,Chennai Constituency,Chennai,Tamil Nadu,1500000,0.0,0.0,recommended,180,2024-04-04,2024-10-01,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,False
976,BI09151,Muzaffarpur Constituency,Muzaffarpur,Bihar,500000,250000.0,186466.73,sanctioned,270,2023-08-05,2024-05-01,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,False
977,KA09137,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,500000,0.0,0.0,recommended,730,2023-12-19,2025-12-18,,Jal Nigam,irrigation,,synthetic,sample_projects_synthetic.csv,False
979,BI09374,Patna Constituency,Patna,Bihar,2000000,1000000.0,976969.21,ongoing,180,2024-03-08,2024-09-04,,Zilla Parishad,road,68.2,synthetic,sample_projects_synthetic.csv,False
980,RA09699,Jaipur Constituency,Jaipur,Rajasthan,1000000,1000000.0,553853.26,stalled,730,2023-07-26,2025-07-25,,PWD,community hall,13.7,synthetic,sample_projects_synthetic.csv,False
983,KA09725,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,500000,250000.0,234542.19,ongoing,730,2023-07-06,2025-07-05,,PWD,electricity,33.1,synthetic,sample_projects_synthetic.csv,False
984,BI09197,Gaya Constituency,Gaya,Bihar,200000,0.0,0.0,recommended,180,2024-10-19,2025-04-17,,PWD,school,,synthetic,sample_projects_synthetic.csv,False
987,BI10770,Muzaffarpur Constituency,Muzaffarpur,Bihar,1500000,0.0,0.0,recommended,90,2023-04-04,2023-07-03,,Rural Dev Dept,community hall,,synthetic,sample_projects_synthetic.csv,False
988,UT09584,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,500000,0.0,0.0,recommended,90,2023-01-07,2023-04-07,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
989,RA09144,Jodhpur Constituency,Jodhpur,Rajasthan,500000,500000.0,424414.89,ongoing,270,2024-02-26,2024-11-22,,Jal Nigam,sanitation,40.6,synthetic,sample_projects_synthetic.csv,False
990,KE10241,Ernakulam Constituency,Ernakulam,Kerala,500000,500000.0,249792.7,sanctioned,270,2023-09-29,2024-06-25,,PWD,irrigation,,synthetic,sample_projects_synthetic.csv,False
991,WE09963,Howrah Constituency,Howrah,West Bengal,500000,350000.0,182000.0,sanctioned,180,2023-02-27,2023-08-26,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,True
992,KA10349,Mysuru Constituency,Mysuru,Karnataka,2000000,2000000.0,1193799.27,sanctioned,730,2023-01-16,2025-01-15,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv,False
993,TA10421,Coimbatore Constituency,Coimbatore,Tamil Nadu,500000,0.0,0.0,recommended,180,2024-07-02,2024-12-29,,Rural Dev Dept,school,,synthetic,sample_projects_synthetic.csv,False
994,RA09792,Jaipur Constituency,Jaipur,Rajasthan,1000000,1000000.0,710418.43,stalled,270,2024-02-28,2024-11-24,,PWD,electricity,44.4,synthetic,sample_projects_synthetic.csv,False
995,RA09138,Jaipur Constituency,Jaipur,Rajasthan,1000000,0.0,0.0,recommended,730,2023-11-11,2025-11-10,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv,False
996,BI10019,Muzaffarpur Constituency,Muzaffarpur,Bihar,2000000,1000000.0,434969.53,ongoing,180,2023-12-09,2024-06-06,,PWD,road,31.2,synthetic,sample_projects_synthetic.csv,False
997,AN10098,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,750000,750000.0,662138.71,sanctioned,730,2023-11-02,2025-11-01,,Zilla Parishad,school,,synthetic,sample_projects_synthetic.csv,False
998,RA09911,Jodhpur Constituency,Jodhpur,Rajasthan,750000,750000.0,387783.69,stalled,90,2023-11-21,2024-02-19,,Jal Nigam,irrigation,81.8,synthetic,sample_projects_synthetic.csv,False
999,AN09275,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,500000,500000.0,243591.56,ongoing,270,2023-06-18,2024-03-14,,PWD,electricity,85.7,synthetic,sample_projects_synthetic.csv,False
1000,TA09003,Chennai Constituency,Chennai,Tamil Nadu,1500000,1500000.0,600000.0,stalled,90,2023-12-15,2024-03-14,,Rural Dev Dept,school,34.4,synthetic,sample_projects_synthetic.csv,False
1001,BI09909,Gaya Constituency,Gaya,Bihar,1500000,1500000.0,644777.95,stalled,180,2023-01-26,2023-07-25,,Rural Dev Dept,community hall,34.3,synthetic,sample_projects_synthetic.csv,False
1002,AN09354,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,2000000,2000000.0,1480000.0,ongoing,270,2024-07-29,2025-04-25,,Jal Nigam,road,62.5,synthetic,sample_projects_synthetic.csv,False
1004,KA09635,Mysuru Constituency,Mysuru,Karnataka,1000000,1000000.0,578381.15,completed,180,2024-11-23,2025-05-22,2025-04-23,PWD,community hall,100.0,synthetic,sample_projects_synthetic.csv,False
1005,KA10232,Mysuru Constituency,Mysuru,Karnataka,750000,750000.0,705527.95,stalled,270,2023-12-19,2024-09-14,,Rural Dev Dept,irrigation,48.1,synthetic,sample_projects_synthetic.csv,False
1007,BI09662,Muzaffarpur Constituency,Muzaffarpur,Bihar,1000000,500000.0,468063.51,stalled,730,2023-07-18,2025-07-17,,PWD,school,29.3,synthetic,sample_projects_synthetic.csv,False
1008,RA09567,Jodhpur Constituency,Jodhpur,Rajasthan,2000000,2000000.0,1284891.93,stalled,270,2023-03-13,2023-12-08,,Zilla Parishad,sanitation,30.6,synthetic,sample_projects_synthetic.csv,False
1009,BI09953,Muzaffarpur Constituency,Muzaffarpur,Bihar,1500000,1050000.0,764656.57,ongoing,180,2023-02-25,2023-08-24,,PWD,sanitation,56.6,synthetic,sample_projects_synthetic.csv,True
1011,UT10635,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,750000,0.0,0.0,recommended,365,2024-02-10,2025-02-09,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv,False
1012,UT09903,Varanasi Constituency,Varanasi,Uttar Pradesh,750000,750000.0,354550.52,completed,365,2023-05-15,2024-05-14,2024-04-23,Zilla Parishad,sanitation,100.0,synthetic,sample_projects_synthetic.csv,False
1013,RA10325,Jaipur Constituency,Jaipur,Rajasthan,200000,200000.0,97228.5,ongoing,365,2024-03-08,2025-03-08,,PWD,irrigation,50.1,synthetic,sample_projects_synthetic.csv,False
1015,AN09383,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1000000,0.0,0.0,recommended,730,2023-03-05,2025-03-04,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,False
1016,WE09917,Kolkata Constituency,Kolkata,West Bengal,1000000,1000000.0,622543.2,ongoing,730,2024-03-01,2026-03-01,,PWD,electricity,48.6,synthetic,sample_projects_synthetic.csv,False
1017,BI09596,Muzaffarpur Constituency,Muzaffarpur,Bihar,200000,200000.0,91370.97,ongoing,180,2023-08-20,2024-02-16,,PWD,road,11.1,synthetic,sample_projects_synthetic.csv,False
1018,AN09587,Guntur Constituency,Guntur,Andhra Pradesh,500000,0.0,0.0,recommended,270,2024-09-18,2025-06-15,,PWD,community hall,,synthetic,sample_projects_synthetic.csv,False
1020,TA09429,Coimbatore Constituency,Coimbatore,Tamil Nadu,1500000,1500000.0,638315.71,sanctioned,365,2024-11-10,2025-11-10,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,False
1021,TA09564,Chennai Constituency,Chennai,Tamil Nadu,1500000,0.0,0.0,recommended,365,2024-11-06,2025-11-06,,Rural Dev Dept,drinking water,,synthetic,sample_projects_synthetic.csv,False
1022,KE10021,Ernakulam Constituency,Ernakulam,Kerala,500000,500000.0,229295.01,completed,180,2023-12-19,2024-06-16,2024-09-04,Rural Dev Dept,road,100.0,synthetic,sample_projects_synthetic.csv,False
1023,KA10095,Mysuru Constituency,Mysuru,Karnataka,2000000,1000000.0,634745.03,completed,545,2024-09-04,2026-03-03,2026-02-18,Rural Dev Dept,irrigation,100.0,synthetic,sample_projects_synthetic.csv,False
1024,KA09440,Belagavi Constituency,Belagavi,Karnataka,750000,750000.0,360493.87,sanctioned,730,2023-08-03,2025-08-02,,Rural Dev Dept,community hall,,synthetic,sample_projects_synthetic.csv,False
1025,UT09029,Lucknow Constituency,Lucknow,Uttar Pradesh,500000,500000.0,256609.15,stalled,270,2023-05-18,2024-02-12,,Zilla Parishad,irrigation,73.5,synthetic,sample_projects_synthetic.csv,False
1026,TA09126,Coimbatore Constituency,Coimbatore,Tamil Nadu,1500000,1500000.0,630000.0,stalled,365,2024-03-25,2025-03-25,,Jal Nigam,irrigation,24.6,synthetic,sample_projects_synthetic.csv,False
1027,UT09196,Lucknow Constituency,Lucknow,Uttar Pradesh,2000000,0.0,0.0,recommended,270,2024-08-27,2025-05-24,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv,False
1028,UT09398,Lucknow Constituency,Lucknow,Uttar Pradesh,500000,500000.0,428464.06,completed,180,2024-04-24,2024-10-21,2025-03-29,Jal Nigam,school,100.0,synthetic,sample_projects_synthetic.csv,False
1029,KE10305,Ernakulam Constituency,Ernakulam,Kerala,500000,0.0,0.0,recommended,365,2023-03-16,2024-03-15,,Jal Nigam,community hall,,synthetic,sample_projects_synthetic.csv,False
1030,KA10139,Belagavi Constituency,Belagavi,Karnataka,2000000,0.0,0.0,recommended,545,2023-04-16,2024-10-12,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,False
1031,RA09322,Jodhpur Constituency,Jodhpur,Rajasthan,1500000,1500000.0,1177432.56,ongoing,730,2024-03-10,2026-03-10,,Zilla Parishad,electricity,71.3,synthetic,sample_projects_synthetic.csv,False
1032,BI10260,Gaya Constituency,Gaya,Bihar,1000000,0.0,0.0,recommended,180,2023-07-13,2024-01-09,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,False
1033,AN09774,Guntur Constituency,Guntur,Andhra Pradesh,500000,500000.0,324917.18,ongoing,545,2023-04-18,2024-10-14,,Jal Nigam,drinking water,39.6,synthetic,sample_projects_synthetic.csv,False
1037,BI09124,Muzaffarpur Constituency,Muzaffarpur,Bihar,750000,375000.0,332484.7,stalled,90,2024-01-24,2024-04-23,,Rural Dev Dept,drinking water,33.5,synthetic,sample_projects_synthetic.csv,False
1038,BI10163,Muzaffarpur Constituency,Muzaffarpur,Bihar,500000,500000.0,223496.25,stalled,90,2023-04-06,2023-07-05,,Jal Nigam,community hall,39.5,synthetic,sample_projects_synthetic.csv,False
1039,AN10010,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,300000,150000.0,125097.66,stalled,270,2023-09-05,2024-06-01,,Jal Nigam,drinking water,68.1,synthetic,sample_projects_synthetic.csv,False
1040,AN09762,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1500000,1500000.0,921242.14,completed,545,2023-08-09,2025-02-04,2025-06-03,PWD,school,100.0,synthetic,sample_projects_synthetic.csv,False
1041,BI10140,Patna Constituency,Patna,Bihar,300000,210000.0,161700.0,ongoing,180,2024-03-15,2024-09-11,,Rural Dev Dept,drinking water,15.3,synthetic,sample_projects_synthetic.csv,True
1042,WE10471,Kolkata Constituency,Kolkata,West Bengal,1000000,0.0,0.0,recommended,545,2023-03-15,2024-09-10,,Jal Nigam,road,,synthetic,sample_projects_synthetic.csv,False
1043,TA09268,Coimbatore Constituency,Coimbatore,Tamil Nadu,300000,150000.0,108517.48,ongoing,270,2023-01-31,2023-10-28,,PWD,road,30.1,synthetic,sample_projects_synthetic.csv,False
1044,RA09474,Jodhpur Constituency,Jodhpur,Rajasthan,750000,375000.0,326955.37,sanctioned,270,2024-08-28,2025-05-25,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv,False
1045,UT09210,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,750000,0.0,0.0,recommended,730,2023-08-01,2025-07-31,,Zilla Parishad,irrigation,,synthetic,sample_projects_synthetic.csv,False
1047,RA09065,Jaipur Constituency,Jaipur,Rajasthan,1000000,0.0,0.0,recommended,180,2023-08-07,2024-02-03,,PWD,drinking water,,synthetic,sample_projects_synthetic.csv,False
1048,UT09448,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,200000,0.0,0.0,recommended,180,2024-10-08,2025-04-06,,Jal Nigam,drinking water,,synthetic,sample_projects_synthetic.csv,False
1049,RA09919,Jodhpur Constituency,Jodhpur,Rajasthan,1000000,500000.0,399416.19,sanctioned,270,2024-06-24,2025-03-21,,Jal Nigam,school,,synthetic,sample_projects_synthetic.csv,False
1050,UT09806,Lucknow Constituency,Lucknow,Uttar Pradesh,1500000,750000.0,695092.49,completed,90,2023-03-02,2023-05-31,2023-06-03,Rural Dev Dept,electricity,100.0,synthetic,sample_projects_synthetic.csv,False
1052,KE10324,Ernakulam Constituency,Ernakulam,Kerala,2000000,2000000.0,1632192.18,stalled,270,2024-06-10,2025-03-07,,Rural Dev Dept,road,51.2,synthetic,sample_projects_synthetic.csv,False
1054,BI10557,Gaya Constituency,Gaya,Bihar,1000000,0.0,0.0,recommended,365,2023-11-30,2024-11-29,,PWD,irrigation,,synthetic,sample_projects_synthetic.csv,False
1055,KA09558,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,300000,0.0,0.0,recommended,545,2023-02-24,2024-08-22,,PWD,sanitation,,synthetic,sample_projects_synthetic.csv,False
1056,KE10271,Kozhikode Constituency,Kozhikode,Kerala,750000,750000.0,509868.77,ongoing,90,2023-07-11,2023-10-09,,Rural Dev Dept,school,48.2,synthetic,sample_projects_synthetic.csv,False
1059,TA09334,Coimbatore Constituency,Coimbatore,Tamil Nadu,300000,300000.0,168103.93,completed,365,2023-01-25,2024-01-25,2023-12-26,PWD,electricity,100.0,synthetic,sample_projects_synthetic.csv,False
1060,BI09497,Patna Constituency,Patna,Bihar,1000000,1000000.0,430518.86,sanctioned,180,2024-04-24,2024-10-21,,Jal Nigam,road,,synthetic,sample_projects_synthetic.csv,False
1061,RA10074,Jodhpur Constituency,Jodhpur,Rajasthan,500000,0.0,0.0,recommended,90,2023-01-25,2023-04-25,,Rural Dev Dept,sanitation,,synthetic,sample_projects_synthetic.csv,False
1063,AN09214,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,500000,500000.0,449242.61,ongoing,365,2023-04-11,2024-04-10,,Rural Dev Dept,irrigation,28.6,synthetic,sample_projects_synthetic.csv,False
1064,MA10015,Pune Constituency,Pune,Maharashtra,1000000,0.0,0.0,recommended,365,2024-07-08,2025-07-08,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,False
1067,AN10739,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1500000,0.0,0.0,recommended,270,2024-04-02,2024-12-28,,Rural Dev Dept,irrigation,,synthetic,sample_projects_synthetic.csv,False
1068,AN09739,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,300000,0.0,0.0,recommended,545,2023-07-29,2025-01-24,,Rural Dev Dept,road,,synthetic,sample_projects_synthetic.csv,False
1069,KE09522,Ernakulam Constituency,Ernakulam,Kerala,1500000,750000.0,694217.96,ongoing,365,2023-11-27,2024-11-26,,Zilla Parishad,drinking water,31.8,synthetic,sample_projects_synthetic.csv,False
1070,KA09042,Belagavi Constituency,Belagavi,Karnataka,2000000,2000000.0,1500000.0,stalled,365,2024-10-07,2025-10-07,,Rural Dev Dept,electricity,28.3,synthetic,sample_projects_synthetic.csv,False
1071,TA10246,Chennai Constituency,Chennai,Tamil Nadu,1500000,1500000.0,731951.47,sanctioned,180,2024-10-25,2025-04-23,,Zilla Parishad,drinking water,,synthetic,sample_projects_synthetic.csv,False
1072,BI10022,Muzaffarpur Constituency,Muzaffarpur,Bihar,300000,150000.0,60491.66,completed,730,2024-06-20,2026-06-20,2026-07-05,Jal Nigam,drinking water,100.0,synthetic,sample_projects_synthetic.csv,False
1074,WE09191,Kolkata Constituency,Kolkata,West Bengal,2000000,2000000.0,1475811.6,sanctioned,270,2024-04-06,2025-01-01,,PWD,community hall,,synthetic,sample_projects_synthetic.csv,False
1075,AN09796,Krishna Constituency,Krishna,Andhra Pradesh,1000000,1000000.0,500000.0,ongoing,365,2023-02-21,2024-02-21,,PWD,community hall,87.9,synthetic,sample_projects_synthetic.csv,False
1076,WE10255,Howrah Constituency,Howrah,West Bengal,1000000,0.0,0.0,recommended,730,2023-02-13,2025-02-12,,PWD,road,,synthetic,sample_projects_synthetic.csv,False
1077,AN09595,Krishna Constituency,Krishna,Andhra Pradesh,2000000,1400000.0,910267.56,stalled,365,2023-04-20,2024-04-19,,Zilla Parishad,irrigation,66.7,synthetic,sample_projects_synthetic.csv,True
1079,RA09231,Jodhpur Constituency,Jodhpur,Rajasthan,1500000,1500000.0,1312974.12,stalled,365,2023-02-06,2024-02-06,,Rural Dev Dept,road,32.5,synthetic,sample_projects_synthetic.csv,False
1080,BI09164,Gaya Constituency,Gaya,Bihar,750000,0.0,0.0,recommended,270,2024-07-29,2025-04-25,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,False
1081,KA09307,Belagavi Constituency,Belagavi,Karnataka,750000,525000.0,220500.0,sanctioned,365,2023-01-30,2024-01-30,,Zilla Parishad,drinking water,,synthetic,sample_projects_synthetic.csv,True
1083,TA09551,Madurai Constituency,Madurai,Tamil Nadu,500000,0.0,0.0,recommended,545,2024-08-06,2026-02-02,,PWD,electricity,,synthetic,sample_projects_synthetic.csv,False
1084,MA09906,Pune Constituency,Pune,Maharashtra,750000,750000.0,721390.02,sanctioned,365,2024-01-30,2025-01-29,,PWD,road,,synthetic,sample_projects_synthetic.csv,False
1085,KA09013,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1500000,750000.0,321684.36,sanctioned,730,2024-07-11,2026-07-11,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,False
1086,TA09004,Coimbatore Constituency,Coimbatore,Tamil Nadu,750000,0.0,0.0,recommended,365,2024-08-22,2025-08-22,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,False
1087,WE10273,Howrah Constituency,Howrah,West Bengal,1500000,0.0,0.0,recommended,90,2024-09-14,2024-12-13,,Zilla Parishad,sanitation,,synthetic,sample_projects_synthetic.csv,False
1088,KA09742,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,1500000,1500000.0,765000.0,completed,90,2024-03-14,2024-06-12,2024-08-14,PWD,irrigation,100.0,synthetic,sample_projects_synthetic.csv,False
1089,BI09150,Gaya Constituency,Gaya,Bihar,2000000,2000000.0,1674008.3,stalled,365,2023-04-28,2024-04-27,,Zilla Parishad,community hall,33.0,synthetic,sample_projects_synthetic.csv,False
1090,AN09396,Visakhapatnam Constituency,Visakhapatnam,Andhra Pradesh,1000000,500000.0,437818.1,ongoing,365,2024-11-28,2025-11-28,,Rural Dev Dept,community hall,48.2,synthetic,sample_projects_synthetic.csv,False
1091,UT09143,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,1500000,1500000.0,705000.0,completed,730,2024-03-30,2026-03-30,2026-07-14,Jal Nigam,community hall,100.0,synthetic,sample_projects_synthetic.csv,False
1092,BI09660,Gaya Constituency,Gaya,Bihar,1500000,1500000.0,1098811.57,sanctioned,730,2023-06-26,2025-06-25,,Zilla Parishad,community hall,,synthetic,sample_projects_synthetic.csv,False
1096,TA09142,Chennai Constituency,Chennai,Tamil Nadu,750000,375000.0,351700.53,ongoing,180,2023-05-31,2023-11-27,,Zilla Parishad,irrigation,11.1,synthetic,sample_projects_synthetic.csv,False
1099,UT09269,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,1000000,500000.0,365000.0,stalled,180,2023-10-21,2024-04-18,,Jal Nigam,electricity,84.3,synthetic,sample_projects_synthetic.csv,False
1100,KA09088,Belagavi Constituency,Belagavi,Karnataka,750000,750000.0,576998.68,stalled,730,2023-12-09,2025-12-08,,Rural Dev Dept,electricity,13.6,synthetic,sample_projects_synthetic.csv,False
1101,BI10055,Patna Constituency,Patna,Bihar,750000,750000.0,659106.03,completed,180,2024-01-25,2024-07-23,2024-06-30,PWD,irrigation,100.0,synthetic,sample_projects_synthetic.csv,False
1102,AN10436,Guntur Constituency,Guntur,Andhra Pradesh,500000,350000.0,241500.0,stalled,270,2023-01-28,2023-10-25,,Rural Dev Dept,sanitation,82.2,synthetic,sample_projects_synthetic.csv,True
1103,AN09132,Guntur Constituency,Guntur,Andhra Pradesh,200000,0.0,0.0,recommended,90,2024-08-12,2024-11-10,,Rural Dev Dept,road,,synthetic,sample_projects_synthetic.csv,False
1104,TA09580,Madurai Constituency,Madurai,Tamil Nadu,500000,500000.0,231521.1,sanctioned,365,2023-07-08,2024-07-07,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,False
1105,AN09838,Guntur Constituency,Guntur,Andhra Pradesh,750000,375000.0,265604.42,ongoing,90,2023-10-11,2024-01-09,,Zilla Parishad,road,54.7,synthetic,sample_projects_synthetic.csv,False
1106,KA10331,Belagavi Constituency,Belagavi,Karnataka,1000000,500000.0,484241.22,stalled,270,2024-07-29,2025-04-25,,Zilla Parishad,sanitation,52.9,synthetic,sample_projects_synthetic.csv,False
1107,RA09373,Jaipur Constituency,Jaipur,Rajasthan,1000000,0.0,0.0,recommended,180,2024-06-23,2024-12-20,,Zilla Parishad,drinking water,,synthetic,sample_projects_synthetic.csv,False
1109,BI10277,Gaya Constituency,Gaya,Bihar,750000,0.0,0.0,recommended,270,2023-08-10,2024-05-06,,Zilla Parishad,electricity,,synthetic,sample_projects_synthetic.csv,False
1110,BI09031,Gaya Constituency,Gaya,Bihar,1000000,500000.0,345369.44,stalled,180,2023-04-19,2023-10-16,,PWD,community hall,84.3,synthetic,sample_projects_synthetic.csv,False
1111,MA10049,Pune Constituency,Pune,Maharashtra,1000000,1000000.0,740937.82,stalled,270,2023-02-17,2023-11-14,,Zilla Parishad,school,41.3,synthetic,sample_projects_synthetic.csv,False
1112,KA10447,Mysuru Constituency,Mysuru,Karnataka,2000000,1000000.0,424064.17,completed,365,2023-08-22,2024-08-21,2024-12-02,PWD,sanitation,100.0,synthetic,sample_projects_synthetic.csv,False
1113,KA10465,Bengaluru Urban Constituency,Bengaluru Urban,Karnataka,200000,100000.0,61180.87,completed,90,2023-04-08,2023-07-07,2023-07-07,Zilla Parishad,school,100.0,synthetic,sample_projects_synthetic.csv,False
1114,RA10156,Jodhpur Constituency,Jodhpur,Rajasthan,2000000,1000000.0,530000.0,sanctioned,730,2023-12-01,2025-11-30,,Rural Dev Dept,electricity,,synthetic,sample_projects_synthetic.csv,False
1115,TA10679,Coimbatore Constituency,Coimbatore,Tamil Nadu,2000000,0.0,0.0,recommended,180,2023-04-07,2023-10-04,,Jal Nigam,sanitation,,synthetic,sample_projects_synthetic.csv,False
1116,BI09001,Patna Constituency,Patna,Bihar,500000,500000.0,468442.14,stalled,730,2023-04-16,2025-04-15,,Jal Nigam,drinking water,62.8,synthetic,sample_projects_synthetic.csv,False
1117,UT09328,Kanpur Nagar Constituency,Kanpur Nagar,Uttar Pradesh,500000,500000.0,235237.47,stalled,730,2023-08-10,2025-08-09,,Zilla Parishad,school,78.4,synthetic,sample_projects_synthetic.csv,False
1118,BI09706,Patna Constituency,Patna,Bihar,500000,500000.0,465699.47,ongoing,730,2024-11-10,2026-11-10,,Rural Dev Dept,road,29.0,synthetic,sample_projects_synthetic.csv,False
1119,BI10458,Gaya Constituency,Gaya,Bihar,2000000,2000000.0,1309661.46,stalled,90,2023-01-04,2023-04-04,,PWD,electricity,36.3,synthetic,sample_projects_synthetic.csv,False
